Chart Position,Title,Artist,Genre,Subgenre
1,"""Hold On""",Wilson Phillips,Pop,Adult Contemporary
2,"""It Must Have Been Love""",Roxette,Pop Rock,Adult Contemporary
3,"""Nothing Compares 2 U""",Sinéad O'Connor,Pop,Adult Contemporary
4,"""Poison""",Bell Biv DeVoe,R&B,New Jack Swing
5,"""Vogue""",Madonna,Pop,Dance-Pop
6,"""Vision of Love""",Mariah Carey,Soul,Adult Contemporary
7,"""Another Day in Paradise""",Phil Collins,Pop,Soft Rock
8,"""Hold On""",En Vogue,R&B,New Jack Swing
9,"""Cradle of Love""",Billy Idol,Pop Rock,Hard Rock
10,"""Blaze of Glory""",Jon Bon Jovi,Rock,Hard Rock
11,"""Do Me!""",Bell Biv DeVoe,R&B,New Jack Swing
12,"""How Am I Supposed to Live Without You""",Michael Bolton,Pop Rock,Adult Contemporary
13,"""Pump Up the Jam""",Technotronic,Pop Rap,House
14,"""Opposites Attract""",Paula Abdul,R&B,New Jack Swing
15,"""Escapade""",Janet Jackson,R&B,New Jack Swing
16,"""All I Wanna Do Is Make Love to You""",Heart,Pop Rock,AOR
17,"""Close to You""",Maxi Priest,R&B,New Jack Swing
18,"""Black Velvet""",Alannah Myles,Pop Rock,AOR
19,"""Release Me""",Wilson Phillips,Pop,Soul
20,"""Don't Know Much""",Linda Ronstadt featuring Aaron Neville,Pop,Adult Contemporary
21,"""All Around the World""",Lisa Stansfield,Pop Soul,Dance-Pop
22,"""I Wanna Be Rich""",Calloway,R&B,New Jack Swing
23,"""Rub You the Right Way""",Johnny Gill,R&B,New Jack Swing
24,"""She Ain't Worth It""",Glenn Medeiros featuring Bobby Brown,R&B,New Jack Swing
25,"""If Wishes Came True""",Sweet Sensation,Pop,Adult Contemporary
26,"""The Power""",Snap!,Pop Rap,House
27,"""(Can't Live Without Your) Love and Affection""",Nelson,Pop Rock,AOR
28,"""Love Will Lead You Back""",Taylor Dayne,Pop,Adult Contemporary
29,"""Don't Wanna Fall in Love""",Jane Child,Pop,New Jack Swing
30,"""Two to Make It Right""",Seduction,Pop,Dance-Pop
31,"""Sending All My Love""",Linear,Pop,Dance-Pop
32,"""Unskinny Bop""",Poison,Metal,Glam Metal
33,"""Step by Step""",New Kids on the Block,Pop,Dance-Pop
34,"""Dangerous""",Roxette,Pop Rock,N/A
35,"""We Didn't Start the Fire""",Billy Joel,Pop Rock,AOR
36,"""I Don't Have the Heart""",James Ingram,Pop Soul,Adult Contemporary
37,"""Downtown Train""",Rod Stewart,Pop Rock,Adult Contemporary
38,"""Rhythm Nation""",Janet Jackson,R&B,New Jack Swing
39,"""I'll Be Your Everything""",Tommy Page,Pop,Adult Contemporary
40,"""Roam""",The B-52's,Pop Rock,New Wave
